gene,oe_lof,oe_lof_lower,oe_lof_upper,oe_lof_upper_rank,pLI
PCSK2,0.09311,0.041,0.241,1550.0,0.99853
FOSL2,0.0,0.0,0.241,1551.0,0.98293
CAMK2G,0.10544,0.051,0.241,1552.0,0.9991
SH3GLB1,0.050882,0.017,0.241,1553.0,0.99407
SLC2A1,0.050848,0.017,0.241,1554.0,0.9941
TAOK2,0.12809,0.072,0.241,1555.0,0.99976
TAOK3,0.12832,0.072,0.241,1556.0,0.99975
TSHZ1,0.076402,0.03,0.241,1557.0,0.9973
FBXO33,0.050759,0.017,0.241,1558.0,0.99417
YTHDF1,0.050729,0.017,0.241,1559.0,0.9942
YWHAB,0.0,0.0,0.241,1560.0,0.98314
TMEM259,0.050861,0.017,0.241,1561.0,0.99408
UBA2,0.093209,0.041,0.241,1562.0,0.99851
RBPJ,0.093119,0.041,0.241,1563.0,0.99853
ITPK1,0.051083,0.017,0.242,1564.0,0.99389
RPS6KA5,0.10554,0.051,0.242,1565.0,0.99909
SHH,0.0,0.0,0.242,1566.0,0.98258
PDLIM4,0.0,0.0,0.242,1567.0,0.98283
SRSF1,0.0,0.0,0.242,1568.0,0.98268
FOXJ2,0.093484,0.042,0.242,1569.0,0.99846
MEMO1,0.05108,0.017,0.242,1570.0,0.9939
BCL9L,0.11525,0.059,0.242,1571.0,0.99939
TOPORS,0.10589,0.051,0.242,1572.0,0.99904
IGBP1,0.0,0.0,0.242,1573.0,0.98274
LRCH2,0.076889,0.03,0.242,1574.0,0.99713
TOMM70A,0.093731,0.042,0.242,1575.0,0.99841
NOVA2,0.0,0.0,0.242,1576.0,0.98259
SLC38A2,0.07699,0.03,0.242,1577.0,0.99709
DCHS1,0.15685,0.104,0.242,1578.0,0.99997
SRGAP3,0.12934,0.073,0.243,1579.0,0.9997
PHC1,0.11534,0.059,0.243,1580.0,0.99938
DDB1,0.13443,0.078,0.243,1581.0,0.99979
PCDH1,0.09387,0.042,0.243,1582.0,0.99838
SCAI,0.11564,0.059,0.243,1583.0,0.99936
PPP4R1,0.12299,0.066,0.243,1584.0,0.99958
PTK2,0.14353,0.088,0.243,1585.0,0.99987
PLAGL2,0.0,0.0,0.243,1586.0,0.98253
MEF2D,0.077115,0.031,0.243,1587.0,0.99705
RPL18A,0.0,0.0,0.243,1588.0,0.98228
TNFSF13B,0.0,0.0,0.244,1589.0,0.98193
PIM3,0.0,0.0,0.244,1590.0,0.98192
GMPS,0.094515,0.042,0.244,1591.0,0.99825
GRID1,0.11613,0.06,0.244,1592.0,0.99931
HNRNPL,0.077633,0.031,0.244,1593.0,0.99685
NONO,0.051527,0.017,0.244,1594.0,0.9935
ELL2,0.094522,0.042,0.244,1595.0,0.99824
DNAJC11,0.10677,0.052,0.244,1596.0,0.99893
GRM7,0.10652,0.051,0.244,1597.0,0.99896
TMEM131,0.15618,0.102,0.244,1598.0,0.99995
LONP1,0.11623,0.06,0.244,1599.0,0.9993
SRC,0.077465,0.031,0.244,1600.0,0.99691
HSPA4,0.12362,0.067,0.244,1601.0,0.99954
KIAA1211L,0.077392,0.031,0.244,1602.0,0.99694
SPI1,0.0,0.0,0.244,1603.0,0.98206
TRIM27,0.077621,0.031,0.244,1604.0,0.99685
CEPT1,0.051509,0.017,0.244,1605.0,0.99351
RPL19,0.0,0.0,0.244,1606.0,0.98197
EPS15L1,0.13062,0.073,0.245,1607.0,0.99964
KPNA1,0.094819,0.042,0.245,1608.0,0.99818
CACNA2D1,0.14777,0.092,0.245,1609.0,0.99989
STK11,0.051631,0.017,0.245,1610.0,0.9934
GABRD,0.051581,0.017,0.245,1611.0,0.99345
EIF5B,0.14029,0.084,0.245,1612.0,0.99981
UHRF2,0.11639,0.06,0.245,1613.0,0.99928
CELSR3,0.17022,0.12,0.245,1614.0,0.99998
BRD1,0.12432,0.067,0.245,1615.0,0.99949
KLF7,0.0,0.0,0.245,1616.0,0.98178
RAB11FIP3,0.094724,0.042,0.245,1617.0,0.9982
RABL6,0.09485,0.042,0.245,1618.0,0.99817
GRAMD1B,0.11636,0.06,0.245,1619.0,0.99929
PUF60,0.077845,0.031,0.245,1620.0,0.99677
FBL,0.051861,0.017,0.246,1621.0,0.99319
TBX2,0.051753,0.017,0.246,1622.0,0.99329
ZRANB1,0.10729,0.052,0.246,1623.0,0.99885
ATP2A2,0.12482,0.067,0.246,1624.0,0.99945
FLT1,0.14517,0.089,0.246,1625.0,0.99983
ACTL6A,0.078124,0.031,0.246,1626.0,0.99665
HERC4,0.13116,0.074,0.246,1627.0,0.99961
AKAP4,0.051823,0.017,0.246,1628.0,0.99323
JADE1,0.10731,0.052,0.246,1629.0,0.99885
TRA2B,0.051934,0.017,0.246,1630.0,0.99312
BCAR1,0.09523,0.042,0.246,1631.0,0.99808
ADD3,0.10759,0.052,0.246,1632.0,0.9988
PSMC6,0.078207,0.031,0.246,1633.0,0.99662
POLR1B,0.12471,0.067,0.246,1634.0,0.99946
PRPF40B,0.13072,0.073,0.246,1635.0,0.99963
ASTN2,0.13659,0.079,0.246,1636.0,0.99971
GRIA2,0.11752,0.06,0.247,1637.0,0.99916
LNPEP,0.13167,0.074,0.247,1638.0,0.99957
RLIM,0.052048,0.018,0.247,1639.0,0.99301
RASIP1,0.095466,0.042,0.247,1640.0,0.99803
NAV2,0.16465,0.112,0.247,1641.0,0.99995
ILF2,0.078489,0.031,0.247,1642.0,0.9965
NUS1,0.0,0.0,0.247,1643.0,0.98117
NPTN,0.052015,0.017,0.247,1644.0,0.99304
WT1,0.07854,0.031,0.247,1645.0,0.99648
CLOCK,0.13173,0.074,0.247,1646.0,0.99957
KCNH3,0.11732,0.06,0.247,1647.0,0.99919
TOP2B,0.15225,0.097,0.247,1648.0,0.99989
DCTN2,0.07843,0.031,0.247,1649.0,0.99653
NCOA1,0.14577,0.089,0.247,1650.0,0.99981
RHEB,0.0,0.0,0.247,1651.0,0.98119
ANKRD34A,0.0,0.0,0.247,1652.0,0.98103
HDAC9,0.14235,0.085,0.248,1653.0,0.99973
ANKRD13C,0.09587,0.043,0.248,1654.0,0.99793
WWP1,0.13746,0.08,0.248,1655.0,0.99966
ZNF319,0.052211,0.018,0.248,1656.0,0.99285
WDR18,0.052355,0.018,0.248,1657.0,0.99271
CBX8,0.052364,0.018,0.248,1658.0,0.9927
LENG8,0.1256,0.068,0.248,1659.0,0.99938
KAL1,0.095842,0.043,0.248,1660.0,0.99793
LRRC8B,0.079203,0.031,0.249,1661.0,0.99619
ZBTB21,0.096428,0.043,0.249,1662.0,0.99778
MORC4,0.096253,0.043,0.249,1663.0,0.99783
ARHGAP29,0.1378,0.08,0.249,1664.0,0.99964
NELL2,0.13244,0.074,0.249,1665.0,0.99952
PDE8B,0.1185,0.061,0.249,1666.0,0.99905
ZNF281,0.079091,0.031,0.249,1667.0,0.99624
ARFGEF2,0.16407,0.11,0.249,1668.0,0.99993
PHF13,0.0,0.0,0.249,1669.0,0.98042
INPP4A,0.13252,0.074,0.249,1670.0,0.99952
MUC5B,0.18333,0.136,0.249,1671.0,0.99999
KDR,0.1506,0.094,0.249,1672.0,0.99982
BAI2,0.15051,0.094,0.249,1673.0,0.99982
NLGN4X,0.052401,0.018,0.249,1674.0,0.99267
LRP2,0.19529,0.154,0.249,1675.0,0.99999
CHRM3,0.052535,0.018,0.249,1676.0,0.99253
PITPNC1,0.052544,0.018,0.249,1677.0,0.99252
ZNF496,0.079081,0.031,0.249,1678.0,0.99624
USF2,0.052539,0.018,0.249,1679.0,0.99253
PDIA3,0.079445,0.031,0.25,1680.0,0.99608
FLNC,0.16868,0.116,0.25,1681.0,0.99994
MTMR4,0.13865,0.08,0.25,1682.0,0.99959
TRIP13,0.07948,0.031,0.25,1683.0,0.99606
ACE2,0.096752,0.043,0.25,1684.0,0.99769
KIRREL,0.10913,0.053,0.25,1685.0,0.99855
CELSR1,0.16835,0.115,0.25,1686.0,0.99994
HGF,0.13314,0.075,0.25,1687.0,0.99947
RYR2,0.19733,0.156,0.25,1688.0,0.99999
TM9SF4,0.11886,0.061,0.25,1689.0,0.999
FAM160B1,0.11901,0.061,0.25,1690.0,0.99898
SYN1,0.052904,0.018,0.251,1691.0,0.99216
CAD,0.17132,0.119,0.251,1692.0,0.99993
FAF1,0.1192,0.061,0.251,1693.0,0.99895
FNIP1,0.13895,0.081,0.251,1694.0,0.99957
ETF1,0.079619,0.032,0.251,1695.0,0.996
INHBA,0.0,0.0,0.251,1696.0,0.97979
SLC30A10,0.0,0.0,0.251,1697.0,0.97952
STT3B,0.11918,0.061,0.251,1698.0,0.99896
MRC1L1,0.096923,0.043,0.251,1699.0,0.99765
MEX3A,0.0,0.0,0.251,1700.0,0.97977
CAMK2A,0.10964,0.053,0.251,1701.0,0.99845
INTS3,0.14817,0.09,0.251,1702.0,0.99972
RNPS1,0.0,0.0,0.251,1703.0,0.9798
NFE2L1,0.097104,0.043,0.251,1704.0,0.99759
SLC6A3,0.09715,0.043,0.251,1705.0,0.99758
CELSR2,0.1729,0.121,0.251,1706.0,0.99994
TFAP2D,0.053059,0.018,0.252,1707.0,0.99199
PIK3CB,0.14414,0.086,0.252,1708.0,0.99964
ZC3H12C,0.10999,0.053,0.252,1709.0,0.99838
DOPEY1,0.17516,0.123,0.252,1710.0,0.99993
ZMIZ1,0.13435,0.075,0.252,1711.0,0.99937
ZYG11B,0.11008,0.053,0.252,1712.0,0.99836
SKIDA1,0.053119,0.018,0.252,1713.0,0.99193
SEPT9,0.080052,0.032,0.252,1714.0,0.99579
SCUBE3,0.13412,0.075,0.252,1715.0,0.99939
KLF6,0.0,0.0,0.252,1716.0,0.97946
SFMBT2,0.13409,0.075,0.252,1717.0,0.99939
DNM1,0.12772,0.069,0.252,1718.0,0.99917
ZNFX1,0.15852,0.102,0.252,1719.0,0.99983
RBBP4,0.080331,0.032,0.253,1720.0,0.99565
LEMD3,0.12045,0.062,0.253,1721.0,0.99877
RUSC2,0.14012,0.081,0.253,1722.0,0.99949
AKAP6,0.16193,0.106,0.253,1723.0,0.99983
TMEM132B,0.12051,0.062,0.253,1724.0,0.99876
RBM15B,0.080499,0.032,0.253,1725.0,0.99557
ZNF644,0.12799,0.069,0.253,1726.0,0.99914
AUTS2,0.13464,0.076,0.253,1727.0,0.99934
SIM1,0.1105,0.053,0.253,1728.0,0.99828
FAT3,0.1808,0.131,0.253,1729.0,0.99995
TP53BP1,0.16429,0.109,0.253,1730.0,0.99985
HECW1,0.16212,0.106,0.253,1731.0,0.99982
NEGR1,0.053303,0.018,0.253,1732.0,0.99173
XPO5,0.15314,0.095,0.253,1733.0,0.99971
SVEP1,0.18599,0.137,0.254,1734.0,0.99995
SCAF1,0.11092,0.054,0.254,1735.0,0.99819
DLGAP1,0.12058,0.062,0.254,1736.0,0.99875
DLX2,0.0,0.0,0.254,1737.0,0.97847
TTYH1,0.080845,0.032,0.254,1738.0,0.99539
CSNK1G2,0.053624,0.018,0.254,1739.0,0.99138
RAB35,0.0,0.0,0.254,1740.0,0.97845
PIAS2,0.098448,0.044,0.254,1741.0,0.99718
ADCY5,0.13523,0.076,0.254,1742.0,0.99928
GRM5,0.12077,0.062,0.254,1743.0,0.99872
BOD1L1,0.16716,0.112,0.254,1744.0,0.99985
PTPRS,0.165,0.109,0.254,1745.0,0.99983
EDNRA,0.053444,0.018,0.254,1746.0,0.99158
NRXN1,0.14962,0.091,0.254,1747.0,0.99964
ARHGAP32,0.15984,0.103,0.254,1748.0,0.99978
FRMD5,0.098285,0.044,0.254,1749.0,0.99724
VPS54,0.1351,0.076,0.254,1750.0,0.99929
UBE2R2,0.0,0.0,0.255,1751.0,0.97816
AMMECR1L,0.0537,0.018,0.255,1752.0,0.9913
CCT6A,0.080966,0.032,0.255,1753.0,0.99532
TCFL5,0.053719,0.018,0.255,1754.0,0.99128
PBX1,0.081067,0.032,0.255,1755.0,0.99527
TCP1,0.081058,0.032,0.255,1756.0,0.99527
IRF1,0.05405,0.018,0.256,1757.0,0.9909
PRKAG2,0.099222,0.044,0.256,1758.0,0.99692
LRP12,0.11175,0.054,0.256,1759.0,0.99799
EBF1,0.099086,0.044,0.256,1760.0,0.99697
FAM131B,0.054035,0.018,0.256,1761.0,0.99092
SOS2,0.15097,0.092,0.256,1762.0,0.99955
RAD21,0.098977,0.044,0.256,1763.0,0.99701
MOSPD2,0.053922,0.018,0.256,1764.0,0.99105
STXBP5,0.15083,0.092,0.256,1765.0,0.99956
KCNJ3,0.05389,0.018,0.256,1766.0,0.99108
POLR1A,0.1687,0.113,0.256,1767.0,0.9998
TP73,0.099113,0.044,0.256,1768.0,0.99696
CWC15,0.0,0.0,0.256,1769.0,0.97769
NDFIP1,0.0,0.0,0.257,1770.0,0.97747
EPHB1,0.12203,0.063,0.257,1771.0,0.9985
PHLPP1,0.14251,0.083,0.257,1772.0,0.99927
MAGI2,0.147,0.088,0.257,1773.0,0.99943
PPP2R2A,0.081651,0.032,0.257,1774.0,0.99495
ZNF618,0.12245,0.063,0.257,1775.0,0.99842
HECW2,0.16135,0.104,0.257,1776.0,0.9997
USP1,0.099271,0.044,0.257,1777.0,0.99691
PHACTR3,0.099359,0.044,0.257,1778.0,0.99687
FBXL20,0.099271,0.044,0.257,1779.0,0.99691
BRD7,0.11275,0.055,0.258,1780.0,0.99774
MTMR3,0.14766,0.088,0.258,1781.0,0.99937
CDK16,0.081906,0.032,0.258,1782.0,0.9948
HMGXB3,0.13754,0.077,0.258,1783.0,0.999
MARK4,0.11265,0.054,0.258,1784.0,0.99777
FAM208A,0.15585,0.097,0.258,1785.0,0.99954
CALD1,0.13055,0.07,0.258,1786.0,0.99879
PPP2R4,0.054331,0.018,0.258,1787.0,0.99057
DLC1,0.15182,0.093,0.258,1788.0,0.99948
ELF2,0.081879,0.032,0.258,1789.0,0.99482
LIN9,0.11287,0.055,0.258,1790.0,0.99771
NRG1,0.099974,0.045,0.258,1791.0,0.99665
NRXN2,0.14799,0.088,0.258,1792.0,0.99934
GRIA1,0.13117,0.071,0.259,1793.0,0.99869
STMN2,0.0,0.0,0.259,1794.0,0.97687
TSKS,0.10032,0.045,0.259,1795.0,0.99652
IRF2BP1,0.054609,0.018,0.259,1796.0,0.99024
TMEM57,0.11337,0.055,0.259,1797.0,0.99757
NTRK3,0.123,0.063,0.259,1798.0,0.9983
TFAP2B,0.054619,0.018,0.259,1799.0,0.99023
DKFZP761J1410,0.0546,0.018,0.259,1800.0,0.99025
DEF6,0.11298,0.055,0.259,1801.0,0.99768
MKL1,0.11298,0.055,0.259,1802.0,0.99768
SMAD2,0.10008,0.045,0.259,1803.0,0.99661
MBD3,0.0,0.0,0.26,1804.0,0.9765
CBX1,0.0,0.0,0.26,1805.0,0.97622
HMGCR,0.13159,0.071,0.26,1806.0,0.99861
PLAGL1,0.0,0.0,0.26,1807.0,0.9764
TRIM8,0.082619,0.033,0.26,1808.0,0.99438
SLC8A2,0.10079,0.045,0.26,1809.0,0.99633
DSP,0.18479,0.133,0.26,1810.0,0.99978
PPP1R37,0.082444,0.033,0.26,1811.0,0.99448
OSBP,0.13194,0.071,0.26,1812.0,0.99855
PITX2,0.0,0.0,0.26,1813.0,0.97618
ADCY2,0.14484,0.084,0.261,1814.0,0.99898
DAAM1,0.14946,0.089,0.261,1815.0,0.99918
DOCK2,0.17963,0.125,0.261,1816.0,0.99969
TTBK2,0.13921,0.078,0.261,1817.0,0.99875
DUSP6,0.0,0.0,0.261,1818.0,0.97603
RPS6,0.0,0.0,0.261,1819.0,0.9759
EXT1,0.11425,0.055,0.261,1820.0,0.99732
PHF20,0.1392,0.078,0.261,1821.0,0.99875
RPS18,0.0,0.0,0.261,1822.0,0.9759
STXBP5L,0.15406,0.094,0.261,1823.0,0.99926
TFAP2A,0.055092,0.019,0.261,1824.0,0.98964
PCNA,0.0,0.0,0.261,1825.0,0.97606
YLPM1,0.17615,0.121,0.261,1826.0,0.99965
ERF,0.055062,0.019,0.261,1827.0,0.98968
CIT,0.18451,0.132,0.261,1828.0,0.9997
GNAO1,0.055101,0.019,0.261,1829.0,0.98963
MKRN1,0.082894,0.033,0.261,1830.0,0.99421
NR5A1,0.055128,0.019,0.262,1831.0,0.9896
ZBTB1,0.083111,0.033,0.262,1832.0,0.99407
KCNB2,0.10129,0.045,0.262,1833.0,0.99613
KCNC1,0.055148,0.019,0.262,1834.0,0.98957
GRIK2,0.13263,0.072,0.262,1835.0,0.99841
PKNOX1,0.083206,0.033,0.262,1836.0,0.99401
RELB,0.083219,0.033,0.262,1837.0,0.994
ARRB1,0.083316,0.033,0.262,1838.0,0.99394
CAMTA2,0.15473,0.094,0.262,1839.0,0.99918
RAB8A,0.0,0.0,0.262,1840.0,0.97543
RAN,0.0,0.0,0.262,1841.0,0.97576
ATG4A,0.055179,0.019,0.262,1842.0,0.98953
PLXNA1,0.17033,0.113,0.262,1843.0,0.99951
CBX6,0.0,0.0,0.262,1844.0,0.97568
DLG5,0.16769,0.11,0.262,1845.0,0.99948
PHF8,0.12496,0.064,0.263,1846.0,0.99785
DDX4,0.13337,0.072,0.263,1847.0,0.99826
OPN1LW,0.0,0.0,0.263,1848.0,0.97535
PPP2CA,0.055359,0.019,0.263,1849.0,0.9893
PTGS2,0.10166,0.045,0.263,1850.0,0.99597
TPP2,0.15517,0.095,0.263,1851.0,0.99912
HUNK,0.10183,0.045,0.263,1852.0,0.99589
AP1B1,0.13327,0.072,0.263,1853.0,0.99828
AP2B1,0.13319,0.072,0.263,1854.0,0.9983
CBFA2T2,0.10192,0.045,0.263,1855.0,0.99585
ARHGAP5,0.13996,0.079,0.263,1856.0,0.99862
DBN1,0.11508,0.056,0.263,1857.0,0.99705
MSI1,0.08387,0.033,0.264,1858.0,0.99357
TENM3,0.18303,0.129,0.264,1859.0,0.99955
FCHO1,0.14081,0.079,0.264,1860.0,0.99845
HSPH1,0.13352,0.072,0.264,1861.0,0.99822
ST7,0.11515,0.056,0.264,1862.0,0.99703
TEAD3,0.083795,0.033,0.264,1863.0,0.99362
ITGB8,0.12564,0.065,0.264,1864.0,0.99767
SMAP1,0.083867,0.033,0.264,1865.0,0.99357
CCNL1,0.10216,0.046,0.264,1866.0,0.99575
SLC9A7,0.083946,0.033,0.264,1867.0,0.99352
EYA3,0.11516,0.056,0.264,1868.0,0.99702
VRTN,0.055584,0.019,0.264,1869.0,0.98901
CTDNEP1,0.0,0.0,0.264,1870.0,0.97468
RRAS2,0.0,0.0,0.264,1871.0,0.97463
NFATC3,0.13394,0.072,0.264,1872.0,0.99813
FBXO38,0.15204,0.091,0.265,1873.0,0.99879
MORF4L1,0.084133,0.033,0.265,1874.0,0.99339
CHRM4,0.0,0.0,0.265,1875.0,0.97439
HECTD2,0.13425,0.073,0.265,1876.0,0.99806
SBF1,0.1746,0.117,0.265,1877.0,0.99933
SLC44A1,0.11592,0.056,0.265,1878.0,0.99676
NKD1,0.084064,0.033,0.265,1879.0,0.99344
GNB2,0.055767,0.019,0.265,1880.0,0.98876
FAM135A,0.15642,0.095,0.265,1881.0,0.99893
ARPC4,0.0,0.0,0.265,1882.0,0.97453
NMNAT2,0.055944,0.019,0.265,1883.0,0.98853
NMT1,0.10269,0.046,0.265,1884.0,0.9955
ERBB4,0.1638,0.104,0.265,1885.0,0.99912
SESTD1,0.13441,0.073,0.265,1886.0,0.99802
ATRNL1,0.16714,0.108,0.266,1887.0,0.99915
PAPOLG,0.13488,0.073,0.266,1888.0,0.9979
DIP2B,0.17526,0.118,0.266,1889.0,0.99924
GIT2,0.13477,0.073,0.266,1890.0,0.99793
NCOA6,0.16732,0.108,0.266,1891.0,0.99913
AMOT,0.1162,0.056,0.266,1892.0,0.99666
PSIP1,0.11614,0.056,0.266,1893.0,0.99668
PDHA1,0.056023,0.019,0.266,1894.0,0.98842
CBLB,0.14175,0.08,0.266,1895.0,0.99825
EDA,0.0,0.0,0.266,1896.0,0.97391
SLC4A8,0.14764,0.086,0.266,1897.0,0.99849
HDGFRP3,0.0,0.0,0.266,1898.0,0.9738
RABEP1,0.14752,0.086,0.266,1899.0,0.99851
IWS1,0.12699,0.065,0.267,1900.0,0.99727
AGAP2,0.14211,0.08,0.267,1901.0,0.99816
TP63,0.12696,0.065,0.267,1902.0,0.99728
SLC7A1,0.084811,0.034,0.267,1903.0,0.99291
FOXO3,0.056282,0.019,0.267,1904.0,0.98806
ZIC2,0.0,0.0,0.267,1905.0,0.97362
ROR1,0.11675,0.057,0.267,1906.0,0.99645
SMAD1,0.056303,0.019,0.267,1907.0,0.98803
PPARGC1A,0.12689,0.065,0.267,1908.0,0.9973
MMP14,0.10326,0.046,0.267,1909.0,0.99522
SRGAP1,0.14781,0.086,0.267,1910.0,0.99845
CNNM2,0.10328,0.046,0.267,1911.0,0.99521
MEGF9,0.056255,0.019,0.267,1912.0,0.9881
GANAB,0.15754,0.096,0.267,1913.0,0.99873
RBL2,0.14829,0.086,0.268,1914.0,0.99835
RPS6KA4,0.12737,0.066,0.268,1915.0,0.99715
LRFN3,0.0,0.0,0.268,1916.0,0.97322
APEX2,0.0,0.0,0.268,1917.0,0.97302
MBD1,0.12729,0.066,0.268,1918.0,0.99717
HSPD1,0.085265,0.034,0.268,1919.0,0.99257
MPP1,0.056538,0.019,0.268,1920.0,0.9877
STX1B,0.056564,0.019,0.268,1921.0,0.98766
ACRC,0.056414,0.019,0.268,1922.0,0.98788
SWT1,0.13601,0.073,0.268,1923.0,0.99759
LPCAT3,0.10354,0.046,0.268,1924.0,0.99508
ATP6V0A1,0.14291,0.08,0.268,1925.0,0.99797
ATP6V0D1,0.05659,0.019,0.268,1926.0,0.98763
CPE,0.085571,0.034,0.269,1927.0,0.99233
DPP8,0.14313,0.08,0.269,1928.0,0.99791
PPP1R13B,0.14928,0.087,0.269,1929.0,0.99811
RALA,0.0,0.0,0.269,1930.0,0.97289
TERF2,0.085519,0.034,0.269,1931.0,0.99237
SAE1,0.056612,0.019,0.269,1932.0,0.9876
INHBB,0.0,0.0,0.269,1933.0,0.97287
WNT5A,0.0568,0.019,0.269,1934.0,0.98732
TRIM39,0.10418,0.046,0.269,1935.0,0.99474
L3MBTL3,0.13651,0.074,0.269,1936.0,0.99744
GPRASP2,0.056668,0.019,0.269,1937.0,0.98751
LSAMP,0.056736,0.019,0.269,1938.0,0.98742
SRPK2,0.12789,0.066,0.269,1939.0,0.99697
PABPC1,0.11783,0.057,0.27,1940.0,0.99601
FOXJ3,0.11789,0.057,0.27,1941.0,0.99598
NABP2,0.0,0.0,0.27,1942.0,0.97257
GRHL2,0.12829,0.066,0.27,1943.0,0.99683
GTF2I,0.11804,0.057,0.27,1944.0,0.99592
FGFR2,0.13692,0.074,0.27,1945.0,0.99731
HNRNPH3,0.085734,0.034,0.27,1946.0,0.99221
TRIM2,0.11778,0.057,0.27,1947.0,0.99603
TGFB3,0.056837,0.019,0.27,1948.0,0.98727
SLC8A1,0.11854,0.057,0.271,1949.0,0.9957
APPBP2,0.11859,0.057,0.271,1950.0,0.99567
HSP90B1,0.13725,0.074,0.271,1951.0,0.9972
RAB10,0.0,0.0,0.271,1952.0,0.97213
FBXO28,0.057147,0.019,0.271,1953.0,0.98681
SUGP1,0.11857,0.057,0.271,1954.0,0.99568
CHAMP1,0.086028,0.034,0.271,1955.0,0.99197
ODF1,0.0,0.0,0.271,1956.0,0.9721
LSM12,0.0,0.0,0.271,1957.0,0.97211
MCMBP,0.11864,0.057,0.271,1958.0,0.99565
MYO16,0.17878,0.12,0.272,1959.0,0.99851
ADCY1,0.14465,0.081,0.272,1960.0,0.99747
DCAF15,0.10514,0.047,0.272,1961.0,0.9942
FRYL,0.20128,0.15,0.272,1962.0,0.99727
RPL15,0.0,0.0,0.272,1963.0,0.97146
COPS6,0.057253,0.019,0.272,1964.0,0.98666
PKNOX2,0.08631,0.034,0.272,1965.0,0.99174
RBPMS,0.0,0.0,0.272,1966.0,0.97173
RPS10,0.0,0.0,0.273,1967.0,0.97108
TCF7L2,0.11923,0.058,0.273,1968.0,0.99537
ATAD2,0.17159,0.111,0.273,1969.0,0.9982
SPRY2,0.0,0.0,0.273,1970.0,0.97126
PLXNC1,0.17187,0.111,0.273,1971.0,0.99811
SLC4A4,0.1454,0.082,0.273,1972.0,0.99722
OMG,0.0,0.0,0.273,1973.0,0.97114
GMDS,0.08681,0.034,0.273,1974.0,0.99132
TAF7L,0.057448,0.019,0.273,1975.0,0.98636
BANP,0.10567,0.047,0.273,1976.0,0.99388
CDC27,0.13853,0.075,0.273,1977.0,0.99675
RFX1,0.14533,0.082,0.273,1978.0,0.99724
DPYSL2,0.10589,0.047,0.274,1979.0,0.99375
SPIN1,0.0,0.0,0.274,1980.0,0.97049
PPP1CA,0.057757,0.02,0.274,1981.0,0.98588
TAOK1,0.16541,0.103,0.274,1982.0,0.99787
FBXO42,0.11991,0.058,0.274,1983.0,0.99503
FBXO45,0.0,0.0,0.274,1984.0,0.97063
KCNH2,0.13054,0.067,0.274,1985.0,0.99593
LMX1A,0.087022,0.035,0.274,1986.0,0.99114
OGDH,0.15207,0.088,0.274,1987.0,0.99728
SLTM,0.16548,0.103,0.274,1988.0,0.99785
FMN2,0.16154,0.099,0.274,1989.0,0.99772
ADD2,0.13015,0.067,0.274,1990.0,0.9961
KCNN2,0.08719,0.035,0.274,1991.0,0.99099
VWC2,0.0,0.0,0.274,1992.0,0.97088
ERP44,0.087111,0.035,0.274,1993.0,0.99106
IQGAP1,0.18561,0.127,0.275,1994.0,0.99754
QRICH1,0.1309,0.067,0.275,1995.0,0.99576
SSRP1,0.1307,0.067,0.275,1996.0,0.99585
EIF3G,0.058025,0.02,0.275,1997.0,0.98546
RQCD1,0.057904,0.02,0.275,1998.0,0.98565
FAM193B,0.10659,0.048,0.275,1999.0,0.9933
DAPK1,0.16602,0.104,0.275,2000.0,0.99767
AFF2,0.1309,0.067,0.275,2001.0,0.99577
TARDBP,0.058054,0.02,0.275,2002.0,0.98542
ADAM23,0.15258,0.089,0.275,2003.0,0.99709
MTMR12,0.13945,0.075,0.275,2004.0,0.99638
NR0B1,0.0,0.0,0.275,2005.0,0.97025
PTK7,0.15225,0.088,0.275,2006.0,0.99721
ZNF770,0.087446,0.035,0.275,2007.0,0.99077
FHL1,0.0,0.0,0.276,2008.0,0.96979
RPS3A,0.0,0.0,0.276,2009.0,0.97002
PSMB1,0.0,0.0,0.276,2010.0,0.96996
NASP,0.13141,0.068,0.276,2011.0,0.99553
ARID3A,0.087574,0.035,0.276,2012.0,0.99065
RBM15,0.12046,0.058,0.276,2013.0,0.99474
GNA12,0.0,0.0,0.276,2014.0,0.96994
ARHGAP26,0.14701,0.083,0.276,2015.0,0.99661
DCUN1D1,0.058151,0.02,0.276,2016.0,0.98526
KDM1A,0.14688,0.083,0.276,2017.0,0.99667
KCNMA1,0.16272,0.099,0.276,2018.0,0.99731
XPOT,0.15828,0.094,0.276,2019.0,0.99711
SETD8,0.058136,0.02,0.276,2020.0,0.98528
INTS2,0.16353,0.1,0.277,2021.0,0.99698
AC005358.1,0.107,0.048,0.277,2022.0,0.99303
GRHL3,0.10716,0.048,0.277,2023.0,0.99292
PRR14L,0.16763,0.105,0.277,2024.0,0.99705
BAP1,0.12103,0.059,0.277,2025.0,0.99443
PSPC1,0.088138,0.035,0.277,2026.0,0.99013
ARNTL,0.121,0.059,0.277,2027.0,0.99444
ZFHX2,0.16322,0.1,0.277,2028.0,0.99711
GTF2A1,0.087875,0.035,0.277,2029.0,0.99038
CEP170B,0.15354,0.089,0.277,2030.0,0.99671
HAS2,0.088135,0.035,0.277,2031.0,0.99013
PDZD2,0.18849,0.13,0.277,2032.0,0.99694
PRICKLE2,0.13159,0.068,0.277,2033.0,0.99544
RAB7A,0.0,0.0,0.277,2034.0,0.96933
