gene,oe_lof,oe_lof_lower,oe_lof_upper,oe_lof_upper_rank,pLI
BRWD3,0.026535,0.01,0.084,119.0,1.0
C17orf104,0.0,0.0,0.084,120.0,1.0
ATP2B1,0.017765,0.005,0.084,121.0,1.0
EIF4G2,0.017981,0.005,0.085,122.0,1.0
ZNF462,0.032888,0.014,0.085,123.0,1.0
WDR26,0.0,0.0,0.085,124.0,1.0
CUL4B,0.0,0.0,0.085,125.0,1.0
TRIM33,0.018203,0.005,0.086,126.0,1.0
STXBP1,0.0,0.0,0.086,127.0,1.0
TOPBP1,0.027431,0.01,0.086,128.0,1.0
NF2,0.0,0.0,0.086,129.0,1.0
TET3,0.018143,0.005,0.086,130.0,1.0
MN1,0.0,0.0,0.087,131.0,0.99999
SUPT6H,0.037832,0.018,0.087,132.0,1.0
RP11-762I7.5,0.0,0.0,0.087,133.0,1.0
NHS,0.0,0.0,0.087,134.0,0.99999
RPS6KA3,0.0,0.0,0.087,135.0,0.99999
MYT1L,0.018386,0.006,0.087,136.0,1.0
UBP1,0.0,0.0,0.088,137.0,0.99999
PLCL2,0.0,0.0,0.088,138.0,0.99999
SPTBN1,0.041887,0.021,0.088,139.0,1.0
MYH9,0.038313,0.018,0.088,140.0,1.0
ZDHHC5,0.0,0.0,0.088,141.0,0.99999
LUC7L3,0.0,0.0,0.089,142.0,0.99999
COPB2,0.018746,0.006,0.089,143.0,1.0
DNAJC14,0.0,0.0,0.089,144.0,0.99999
RNF17,0.03429,0.015,0.089,145.0,1.0
ANK3,0.049308,0.028,0.089,146.0,1.0
F8,0.028416,0.011,0.089,147.0,1.0
TM9SF3,0.0,0.0,0.09,148.0,0.99999
DLG3,0.0,0.0,0.09,149.0,0.99999
MGA,0.042833,0.021,0.09,150.0,1.0
ANKRD52,0.018933,0.006,0.09,151.0,1.0
STAG2,0.018923,0.006,0.09,152.0,1.0
SATB2,0.0,0.0,0.091,153.0,0.99999
USP34,0.054952,0.034,0.091,154.0,1.0
MAP3K2,0.0,0.0,0.091,155.0,0.99999
PREX1,0.035185,0.015,0.091,156.0,1.0
MED14,0.01933,0.006,0.092,157.0,1.0
CYFIP2,0.029307,0.011,0.092,158.0,1.0
ZNF407,0.029252,0.011,0.092,159.0,1.0
KPNB1,0.019307,0.006,0.092,160.0,1.0
ETV5,0.0,0.0,0.092,161.0,0.99999
CUL2,0.019602,0.006,0.093,162.0,1.0
HNRNPM,0.0,0.0,0.093,163.0,0.99999
PIAS1,0.0,0.0,0.094,164.0,0.99999
DAAM2,0.019827,0.006,0.094,165.0,1.0
EFTUD2,0.019846,0.006,0.094,166.0,1.0
YTHDC1,0.019789,0.006,0.094,167.0,1.0
NCBP1,0.019877,0.006,0.094,168.0,1.0
TCF20,0.030129,0.011,0.095,169.0,1.0
DLL1,0.0,0.0,0.095,170.0,0.99999
UBR4,0.062772,0.042,0.095,171.0,1.0
STAT3,0.019945,0.006,0.095,172.0,1.0
IGF2BP3,0.0,0.0,0.095,173.0,0.99999
NSD1,0.045197,0.023,0.095,174.0,1.0
SRCAP,0.048453,0.026,0.096,175.0,1.0
ZNF777,0.0,0.0,0.096,176.0,0.99998
HNRNPK,0.0,0.0,0.096,177.0,0.99998
SCAF8,0.030519,0.011,0.096,178.0,1.0
ARID2,0.037297,0.016,0.096,179.0,1.0
CCT3,0.0,0.0,0.097,180.0,0.99998
COL5A2,0.042311,0.02,0.097,181.0,1.0
PHC3,0.02036,0.006,0.097,182.0,1.0
GATAD2B,0.0,0.0,0.097,183.0,0.99998
FBXO11,0.02046,0.006,0.097,184.0,1.0
NOTCH1,0.046153,0.023,0.097,185.0,1.0
COL3A1,0.042706,0.02,0.098,186.0,1.0
PPP3CB,0.0,0.0,0.098,187.0,0.99998
ILF3,0.02065,0.006,0.098,188.0,1.0
PLEKHA5,0.037955,0.016,0.098,189.0,1.0
